CFOP,TMCFTIT,TMCFDSC,TMCLOE
1000,ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO ESTADO,"Classificam-se, neste grupo, as operações ou prestações em que o estabelecimento remetente esteja localizado na mesma unidade da Federação do destinatário",TRIB
1100,"COMPRAS PARA INDUSTRIALIZAÇÃO, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS",,TRIB
1101,Compra para industrialização ou produção rural,Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural. Também serão classificadas neste código as entradas de mercadorias em estabelecimento industrial ou produtor rural de cooperativa recebidas de seus cooperados ou de estabelecimento de outra cooperativa.,TRIB
1102,COMPRA P/ COMER,CLASSIFICAM-SE NESTE CÓDIGO AS COMPRAS DE MERCADORIAS A SEREM COMERCIALIZADAS. TAMBÉM SERÃO CLASSIFICADAS NESTE CÓDIGO AS ENTRADAS DE MERCADORIAS EM ESTABELECIMENTO COMERCIAL DE COOPERATIVA RECEBIDAS DE SEUS COOPERADOS OU DE ESTABELECIMENTO DE OUTRA COOPE,TRIB
1111,Compra para industrialização de mercadoria recebida anteriormente em consignação industrial,"Classificam-se neste código as compras efetivas de mercadorias a serem utilizadas em processo de industrialização, recebidas anteriormente a título de consignação industrial.",TRIB
1113,"Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil",Classificam-se neste código as compras efetivas de mercadorias recebidas anteriormente a título de consignação mercantil.,TRIB
1116,Compra para industrialização originada de encomenda para recebimento futuro,"Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código",TRIB
1117,Compra para comercialização originada de encomenda para recebimento futuro,"Classificam-se neste código as compras de mercadorias a serem comercializadas, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código",TRIB
1118,"Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem","Classificam-se neste código as compras de mercadorias já comercializadas, que, sem transitar pelo estabelecimento do adquirente originário, sejam entregues pelo vendedor remetente diretamente ao destinatário, em operação de venda à ordem, cuja venda seja",TRIB
1120,"Compra para industrialização, em venda à ordem, já recebida do vendedor remetente","Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, em vendas à ordem, já recebidas do vendedor remetente, por ordem do adquirente originário.",TRIB
