NCM,PARAMETRIZAÇÃO
55131100,4202
55131200,4202
55131300,4202
55131900,4202
55132100,4202
55132310,4202
55132390,4202
55132900,4202
55133100,4202
55133911,4202
55133919,4202
55133990,4202
55134100,4202
55134911,4202
55134919,4202
55134990,4202
55141100,4202
55141200,4202
55141910,4202
55141990,4202
55142100,4202
55142200,4202
55142300,4202
55142900,4202
55143011,4202
55143012,4202
55143019,4202
55143090,4202
55144100,4202
55144200,4202
55144300,4202
55144900,4202
55151100,4202
55151200,4202
55151300,4202
55151900,4202
55152100,4202
55152200,4202
55152900,4202
55159100,4202
55159910,4202
55159990,4202
55161100,4202
55161200,4202
55161300,4202
55161400,4202
55162100,4202
55162200,4202
55162300,4202
55162400,4202
55163100,4202
55163200,4202
55163300,4202
55163400,4202
55164100,4202
55164200,4202
55164300,4202
55164400,4202
55169100,4202
55169200,4202
55169300,4202
55169400,4202
56012110,4202
56012190,4322
56012211,4202
56012219,4202
56012291,4202
56012299,4202
56012900,4202
56013010,4202
56013090,4202
56021000,4202
56022100,4202
56022900,4202
56029000,4202
56031110,4202
56031120,4202
56031130,4202
56031140,4202
56031190,4202
56031210,4202
56031220,4202
56031230,4202
56031240,4202
56031250,4202
56031290,4202
56031310,4202
56031320,4202
56031330,4202
56031340,4202
56031350,4202
56031390,4202
56031410,4202
56031420,4202
56031430,4202
56031440,4202
56031490,4202
56039110,4202
56039120,4202
56039130,4202
56039190,4202
56039210,4202
56039220,4202
56039230,4202
56039240,4202
56039290,4202
56039310,4202
56039320,4202
56039330,4202
56039340,4202
56039390,4202
56039410,4202
56039420,4202
56039430,4202
56039490,4202
56041000,4202
56049010,4202
56049021,4202
56049022,4202
56049090,4202
56050010,4202
56050020,4202
56050090,4202
56060000,4202
56072100,4202
56072900,4202
56074100,4202
56074900,4202
56075011,4202
56075019,4202
56075090,4202
56079010,4202
56079020,4202
56079090,4202
56081100,4202
56081900,4202
56089000,4202
56090010,4202
56090090,4202
57011011,4202
57011012,4202
57011020,4202
57019000,4202
57021000,4202
57022000,4202
57023100,4202
57023200,4202
84282010,4211
84282090,4211
84569000,4202
84571000,4211
84572010,4211
84572090,4211
84573010,4211
84573090,4211
84581110,4211
84581191,4211
84581199,4211
84581910,4211
84581990,4211
84589100,4211
84589900,4211
84591000,4211
84592110,4211
84592191,4211
84592199,4211
84592900,4211
84593100,4211
84593900,4211
84594000,4211
84595100,4211
84595900,4211
84596100,4211
84596900,4211
84597000,4211
84601100,4211
84601900,4211
84602100,4211
84602900,4211
84603100,4211
84603900,4211
84604011,4211
84604019,4211
84604091,4211
84604099,4211
84609011,4211
84609012,4211
84609019,4211
84609090,4211
84612010,4211
84612090,4211
84613010,4211
84613090,4211
84614010,4211
84614091,4211
84614099,4211
84615010,4211
84615020,4211
84615090,4211
84619010,4211
84619090,4211
84621011,4211
84621019,4211
84621090,4211
84622100,4211
84622900,4211
84623100,4211
84623910,4211
84623990,4211
84624100,4211
84624900,4211
84629111,4211
84629119,4211
84629191,4211
84629199,4211
84629910,4211
84629920,4211
84629990,4211
84631010,4211
84631090,4211
84632010,4211
84632091,4211
84632099,4211
84633000,4211
84639010,4211
84639090,4211
84641000,4211
84642010,4211
84642021,4211
84642029,4211
84642090,4211
84649011,4211
84649019,4211
84649090,4211
84651000,4211
84659110,4211
84659120,4211
84659190,4211
84659211,4211
84659219,4211
84659290,4211
84659310,4211
84659390,4211
84659400,4211
84659511,4211
84659512,4211
84659591,4211
84659592,4211
84659600,4211
84659900,4211
84661000,4202
84662010,4211
84662090,4202
84663000,4211
84669100,4211
84669200,4211
84669311,4202
84669319,4211
84669320,4211
84669330,4211
84669340,4211
84669350,4211
84669360,4211
84669410,4211
84669420,4211
84669430,4211
84669490,4211
84671110,4211
84671190,4211
84671900,4211
84672100,4202
84672200,4202
84672910,4211
84672991,4211
84672992,4211
84672993,4211
84672999,     
84678100,4209
84679100,4202
84679200,4202
84679900,4202
84681000,4211
84682000,4211
84688010,4211
84688090,4211
84689010,4202
84689020,4202
84689090,4202
84690010,4202
84690021,4202
84690029,4202
84690031,4202
84690039,4202
84701000,4202
84702100,4202
84702900,4202
84703000,4202
84705011,4202
84705019,4202
84705090,4202
84709010,4202
84709090,4202
84713011,4202
29051600,4202
29051710,4202
29051720,4202
29051730,4202
29051911,4202
29051912,4202
29051919,4202
29051921,4202
29051922,4202
29051923,4202
29051929,4202
29051991,4202
29051992,4202
29051993,4202
29051994,4202
29051995,4202
39069044,4202
39069045,4202
39069046,4202
39069047,4202
39069049,4202
39081011,4202
39081012,4202
39081013,4202
39081014,4202
39081019,4202
39081021,4202
39081022,4202
39081023,4202
39081024,4202
39081029,4202
39089010,4202
39089020,4202
39089090,4202
39100021,     
39100029,     
39100030,     
39100090,     
39121110,4202
39121120,4202
39121200,4202
39122010,4202
39122021,4202
39122029,4202
39123111,4202
39123119,4202
39123121,4202
39123129,4202
39123910,4202
39123920,4202
39123930,4202
39123990,4202
39129010,4202
39129020,4202
39129031,4202
39129039,4202
39129040,4202
39129090,4202
39131000,4202
39139011,4202
39139012,4202
39139019,4202
39139020,4202
39139030,4202
39139040,4202
39139050,4202
39139060,4202
39139090,4202
68151010,4202
68151020,4202
68151090,4202
40051010,4202
40051090,4202
40052000,4202
40059110,4202
40059190,4358
40059910,4202
40059990,4202
40061000,4202
40069000,4202
40070011,4202
40070019,4202
40070020,4202
40081100,4202
40081900,4202
40082100,4202
40082900,4202
40091100,4202
40091210,4351
40091290,4202
40092110,4202
40092190,4202
40092210,4202
40092290,4358
40093100,4202
40093290,4202
40094100,4202
40094210,4202
40094290,4202
40101200,4202
40101900,4202
40103100,4202
40103300,4351
40103500,4351
40103600,4351
40111000,4313
40112010,4314
40112090,4314
40113000,4316
40114000,4315
40115000,4202
40116100,4316
40116200,4316
40116310,4316
40116320,4316
40116390,4316
40116910,4316
40116990,4316
40119210,4316
40119290,4316
40119300,4316
40119410,4316
40119420,4316
40119490,4316
40119910,4316
40119990,4316
40121100,4202
40121200,4202
40121300,4202
40121900,4202
40122000,4202
40129010,4316
40129090,4316
40131010,4316
40131090,4316
40132000,4202
40139000,4316
40141000,4003
40149010,4202
40151100,4202
40151900,4202
40159000,4202
40161090,4202
40169200,4202
40169400,4202
40169510,4202
40169590,4202
40169910,4202
40169990,4202
40170000,4202
41012000,4202
72052920,4202
72052990,4202
72061000,4202
72069000,4202
72071110,4202
72071190,4202
72071200,4202
72071900,4202
72072000,4202
72081000,4202
72082500,4202
72082610,4202
72082690,4202
72082710,4202
72082790,4202
72083610,4202
72083690,4202
72083700,4202
72083810,4202
72083890,4202
72083910,4202
72083990,4202
72084000,4202
3062910,4202
3062990,4202
3071100,4202
3071900,4202
3072100,4202
3072900,4202
3073100,4202
3073900,4202
3074100,4202
3074911,4202
3074919,4202
3074990,4202
3075100,4202
3075910,4202
3075990,4202
3076000,4202
3077100,4202
3077900,4202
3078100,4202
3078900,4202
3079100,4202
3079900,4202
3081100,4202
3081900,4202
3082100,4202
3082900,4202
3083000,4202
3089000,4202
4011010,4202
4011090,4202
4012010,4202
4012090,4202
4014010,4202
4014021,4202
4014029,4202
4015010,4202
4015021,4202
4015029,4202
4021010,4202
4021090,4202
4022110,4202
4022120,4202
4022130,4202
4022910,4202
4022920,4202
4022930,4202
4029100,4202
4029900,4202
4031000,4202
4039000,4202
4041000,4202
4049000,4202
4051000,4202
4052000,4202
4059010,4202
4059090,4202
4061010,4202
4061090,4202
4062000,4202
4063000,4202
4064000,4202
4069010,4202
4069020,4202
4069030,4202
4069090,4202
4071100,4003
4071900,4003
4072100,4003
4072900,4003
4079000,4003
4081100,4202
4081900,4202
4089100,4202
4089900,4202
4090000,4202
4100000,4202
5010000,4202
5021011,4202
5021019,4202
5021090,4202
5029010,4202
5029020,4202
5040011,4103
5040012,4202
5040013,4202
5040090,4437
5051000,4202
5059000,4202
5061000,4202
5069000,4202
5071000,4202
5079000,4202
5080000,4202
5100010,4202
5100090,4202
5111000,4003
5119110,4202
5119190,4003
5119910,4202
5119920,4202
5119930,4202
5119991,4202
5119999,4202
6011000,4003
6012000,4003
6023000,4202
6024000,4202
6029010,4202
6029021,4202
6029029,4003
6029081,4003
6029082,4003
6029083,4003
6029089,4003
6029090,4003
6031100,4003
6031200,4003
6031300,4003
6031400,4003
6031500,4003
6031900,4003
6039000,4202
6042000,4202
6049000,4202
7011000,4003
7031011,4003
7031021,4202
7032010,4003
29332190,4202
29332911,4202
29332912,4202
29332913,4202
29332919,4202
29332921,4202
29332922,4202
29332923,4202
29332924,4202
29332925,4202
29332929,4202
29332930,4202
29332940,4202
29332991,4202
29332992,4202
29332993,4202
29332994,4202
29332995,4202
29332999,4202
29333110,4202
29333120,4202
29333200,4202
29333311,4202
29333312,4202
29333319,4202
29333321,4202
29333322,4202
29333329,4202
29333330,4202
29333341,4202
29333342,4202
29333349,4202
29333351,4202
29333352,4202
29333359,4202
29333361,4202
29333362,4202
29051996,4202
29051999,4202
29052210,4202
29052220,4202
29052230,4202
29052290,4202
29052910,4202
29052990,4202
29053100,4202
29053200,4202
29053910,4202
29053920,4202
29053930,4202
29053990,4202
29054100,4202
29054200,4202
29054300,4202
29054400,4202
29054500,4202
29054900,4202
29055100,4202
29055910,4202
29055990,4202
29061100,4202
29061200,4202
29061300,4202
29061910,4202
29061920,4202
29061930,4202
29061940,4202
29061950,4202
29061990,4202
29062100,4202
29062910,4202
29062920,4202
29062990,4202
29071100,4202
29071200,4202
29071300,4202
29071510,4202
29071590,4202
29071910,4202
29071920,4202
29071930,4202
29071940,4202
29071990,4202
29072100,4202
29072200,4202
29072300,4202
29072900,4202
29081100,4202
29081911,4202
29081912,4202
29081913,4202
29081914,4202
29081915,4202
29081919,4202
29081921,4202
29081929,4202
29081990,4202
29089100,4202
29089200,4202
29089912,4202
29089913,4202
29089919,4202
29089921,4202
29089929,4202
29089930,4202
29089990,4202
29091100,4202
29091910,4202
29091990,4202
29092000,4202
29093011,4202
29093012,4202
29093013,4202
29093014,4202
29093019,4202
29093021,4202
29093029,4202
29094100,4202
29094310,4202
29094320,4202
29094411,4202
29094412,4202
29094413,4202
29094419,4202
29094421,4202
29094429,4202
29094910,4202
29094921,4202
29094922,4202
29094923,4202
29094924,4202
29094929,4202
29094931,4202
29094932,4202
29094939,4202
29094941,4202
29094949,4202
29094950,4202
29094990,4202
29095011,4202
29095012,4202
29095013,4202
29095019,4202
29095090,4202
29096011,4202
29096012,4202
29096013,4202
29096019,4202
29096020,4202
29101000,4202
29102000,4202
29103000,4202
29104000,4202
29109010,4202
29109030,4202
29109090,4202
29110010,4202
